"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34"
1950,773.588,535.673,383.009,286.253,221.804,176.928,144.626,120.717,102.581,88.5317,77.368,68.2427,60.5962,54.0695,48.4213,43.4813,39.125,35.2586,31.8102,28.7232,25.9519,23.4589,21.2127,19.1864,17.357,15.7042,14.2103,12.8595,11.6378,10.5326,9.53266,8.62785,7.80906,7.06806,67.4327
1951,773.361,525.407,383.033,286.101,221.626,176.891,144.66,120.861,102.741,88.5541,77.303,68.1506,60.5015,53.981,48.3428,43.4137,39.0672,35.2092,31.7677,28.6863,25.9196,23.4304,21.1874,19.1639,17.3368,15.6861,14.194,12.8448,11.6245,10.5206,9.52184,8.61807,7.80022,7.06007,67.3565
1952,773.189,525.254,375.368,284.824,220.017,175.385,143.721,120.41,102.525,88.5417,77.2935,68.1112,60.4495,53.9243,48.286,43.3606,39.0198,35.1679,31.7318,28.6551,25.8923,23.4064,21.1661,19.1449,17.3198,15.6709,14.1803,12.8325,11.6134,10.5106,9.51279,8.60989,7.79282,7.05338,67.2928
1953,773.064,525.136,376.041,281.254,221.706,176.713,144.541,120.952,103.02,88.8376,77.4977,68.1881,60.4466,53.8897,48.2392,43.3102,38.9713,35.1238,31.693,28.6212,25.8627,23.3804,21.1431,19.1245,17.3017,15.6547,14.1658,12.8194,11.6017,10.5,9.50319,8.60122,7.78499,7.0463,67.2254
1954,773.074,525.052,374.929,280.214,216.775,175.462,143.112,119.527,101.974,88.4724,77.4524,68.2934,60.5283,53.9295,48.2566,43.3144,38.9676,35.1168,31.6855,28.6145,25.8571,23.3758,21.1394,19.1215,17.2991,15.6525,14.1639,12.8178,11.6002,10.4987,9.50208,8.60023,7.7841,7.0455,67.2179
1955,773.147,525.059,375.096,279.142,215.829,171.748,142.568,118.994,101.331,87.9246,77.3226,68.3546,60.6823,54.0429,48.3211,43.3513,38.9874,35.1259,31.6889,28.6156,25.8575,23.3762,21.14,19.1222,17.2999,15.6533,14.1647,12.8186,11.601,10.4995,9.50276,8.60085,7.78467,7.04602,67.2231
1956,773.254,525.108,375.492,280.427,216.419,172.331,140.562,119.159,101.262,87.5865,76.9507,68.2925,60.767,54.2021,48.4406,43.4247,39.0341,35.1555,31.7075,28.6279,25.8668,23.384,21.147,19.1286,17.3059,15.6589,14.1699,12.8233,11.6053,10.5034,9.50633,8.60411,7.78762,7.0487,67.2488
1957,773.422,525.181,375.853,281.213,218.098,173.611,141.821,118.136,101.893,87.8315,76.8232,68.0589,60.7715,54.3194,48.6141,43.5556,39.1187,35.2125,31.7466,28.6551,25.8869,23.4001,21.1608,19.141,17.3171,15.6691,14.1792,12.8318,11.613,10.5104,9.5127,8.60988,7.79287,7.05345,67.2943
1958,773.515,525.295,375.501,280.823,217.794,173.903,141.853,118.346,100.41,88.0115,76.8509,67.855,60.5167,54.2968,48.7027,43.7004,39.2286,35.2828,31.7933,28.6866,25.9082,23.4155,21.173,19.1514,17.3264,15.6776,14.1869,12.8389,11.6195,10.5163,9.51809,8.61478,7.79731,7.05748,67.333
1959,773.442,525.358,374.561,277.746,214.04,170.288,139.46,116.667,99.4213,86.054,76.6653,67.7107,60.2446,54.0145,48.6466,43.7552,39.341,35.3683,31.8462,28.7202,25.9296,23.4288,21.1818,19.1579,17.3319,15.6825,14.1915,12.8432,11.6235,10.5199,9.52142,8.61783,7.8001,7.06002,67.3576
1960,773.042,525.309,374.083,269.827,204.003,161.947,134.292,115.274,98.8946,85.5864,74.9819,67.436,59.9866,53.6596,48.3046,43.6348,39.3347,35.4247,31.8862,28.7366,25.9332,23.4249,21.1734,19.1478,17.3218,15.6731,14.1831,12.8357,11.6169,10.5141,9.51626,8.61322,7.79596,7.05631,67.3228
1961,2595.5,525.037,375.285,276.193,205.46,160.06,130.928,111.747,97.784,85.1286,74.5958,66.0082,59.8087,53.4908,48.0381,43.3693,39.26,35.4465,31.9599,28.7921,25.9646,23.4425,21.1825,19.1514,17.3226,15.6729,14.1826,12.8353,11.6167,10.514,9.51626,8.61329,7.79608,7.05645,67.3248
1962,481.53,1762.82,373.813,268.67,201.108,154.314,125.75,108.342,94.9142,84.246,74.1807,65.6158,58.4865,53.2839,47.8487,43.0997,38.9964,35.3586,31.9622,28.8437,26.0017,23.4595,21.1883,19.1506,17.3178,15.6664,14.1759,12.829,11.611,10.509,9.51186,8.6094,7.79262,7.05337,67.2965
1963,1086.63,327.047,1229.4,227.153,153.776,118.522,101.981,97.9985,89.7855,80.0303,71.9792,64.2004,57.4113,51.6117,47.321,42.6909,38.5813,34.9909,31.7807,28.7632,25.98,23.4354,21.1542,19.113,17.2794,15.6286,14.1403,12.7963,11.5814,10.4824,9.48799,8.58796,7.77335,7.03601,67.1326
1964,383.907,738.021,224.215,659.943,107.742,73.9613,65.1304,69.3305,71.6529,67.1775,62.08,58.2073,53.6971,49.157,44.8806,41.5693,37.7551,34.2758,31.1831,28.3839,25.7285,23.2646,21.0026,18.9692,17.1461,15.5059,14.0279,12.6941,11.489,10.3992,9.41304,8.52047,7.71251,6.98113,66.6124
1965,352.622,260.743,505.373,119.08,306.351,49.3079,36.6239,37.1303,40.6207,43.3812,44.2638,45.1034,45.6242,44.2199,41.7215,38.7967,36.3449,33.2504,30.3307,27.6832,25.2545,22.9279,20.7554,18.7525,16.9469,15.3246,13.8631,12.5445,11.3537,10.2772,9.30317,8.42154,7.62337,6.90074,65.8511
1966,552.043,239.495,179.802,289.515,61.4553,154.89,25.641,20.5183,21.063,23.832,27.9023,31.6551,35.0108,37.3431,37.3793,35.9632,33.8494,31.9564,29.3847,26.8968,24.6074,22.486,20.4387,18.5179,16.7414,15.1362,13.6918,12.3891,11.2127,10.1496,9.18818,8.31799,7.53012,6.81672,65.0574
1967,422.084,374.938,165.39,112.065,167.666,35.7512,92.7256,17.0315,14.8083,15.5602,18.2447,22.2756,26.1343,29.5817,32.05,32.4308,31.4421,29.7557,28.2013,26.0043,23.8505,21.8522,19.9895,18.1836,16.4841,14.9089,13.4836,12.1997,11.0407,9.99362,9.04699,8.19054,7.41521,6.71311,64.0792
1968,837.407,286.672,260.1,97.5268,61.2297,93.7762,22.4639,69.1836,13.4511,11.8068,12.5448,14.9589,18.6071,22.2073,25.4867,27.8989,28.4385,27.7146,26.3239,25.0133,23.1072,21.2216,19.4623,17.8159,16.2146,14.7047,13.3033,12.0339,10.8897,9.85632,8.92229,8.07764,7.31329,6.62123,63.2153
1969,760.347,568.752,202.391,176.639,65.5004,42.3029,68.7019,17.8808,57.1782,11.2058,9.9059,10.6326,12.8236,16.1217,19.4116,22.4295,24.6751,25.2435,24.6649,23.4714,22.3331,20.6517,18.9801,17.4159,15.9487,14.5195,13.1702,11.9169,10.7811,9.75684,8.83151,7.99497,7.23836,6.5536,62.5843
1970,359.682,516.415,398.081,127.403,106.369,40.665,29.0275,54.4313,14.9906,48.5541,9.59623,8.55633,9.25498,11.2344,14.1997,17.1725,19.9116,21.9642,22.5159,22.0335,20.991,19.9897,18.4962,17.0069,15.6106,14.2991,13.0202,11.8118,10.6889,9.67084,8.75256,7.92281,7.17256,6.49393,62.0295
1971,536.84,244.29,346.675,177.542,46.4553,40.0835,19.9466,21.1616,45.2607,12.643,40.9084,8.11057,7.29092,7.9698,9.77255,12.4537,15.1534,17.6482,19.5288,20.0642,19.6659,18.7571,17.8774,16.5519,15.2259,13.9804,12.8091,11.6654,10.5842,9.57891,8.66724,7.84468,7.10128,6.42902,61.4225
1972,1777.14,364.613,161.283,136.814,53.8468,14.3847,16.5794,12.9695,15.9512,34.9101,9.97055,33.1975,6.75215,6.19117,6.86741,8.5102,10.9268,13.3664,15.6255,17.3368,17.8463,17.516,16.7233,15.9506,14.7758,13.5975,12.4888,11.4448,10.4246,9.45953,8.56177,7.7474,7.01246,6.34815,60.6585
1973,818.782,1207,247.581,80.2202,58.2512,23.5799,7.69319,12.073,10.5464,13.1605,29.0181,8.38213,28.2422,5.80667,5.37353,6.00494,7.48416,9.65059,11.8423,13.8756,15.4209,15.8933,15.613,14.9161,14.2337,13.19,12.1413,11.1535,10.2226,9.31233,8.45087,7.64927,6.92199,6.26556,59.8725
1974,355.02,556.102,831.152,135.687,39.3742,29.1108,13.5038,5.41137,9.04355,8.04563,10.3458,23.6328,7.02562,24.1523,5.03362,4.70127,5.28713,6.61873,8.56126,10.5289,12.3562,13.7481,14.1811,13.9395,13.3232,12.7179,11.7882,10.8529,9.97119,9.13987,8.32664,7.55676,6.84025,6.19008,59.1472
1975,267.315,241.123,365.726,417.993,55.2388,15.9517,12.5216,7.66756,3.96268,6.96372,6.39914,8.51446,19.9695,6.0422,21.0113,4.41256,4.14282,4.67616,5.86913,7.60585,9.36655,11.003,12.2513,12.6438,12.4333,11.887,11.3493,10.5213,9.68767,8.90143,8.15982,7.43414,6.74703,6.10745,58.3399
1976,244.033,181.556,167.533,216.39,229.758,31.2199,10.1763,9.55473,6.23149,3.23753,5.67269,5.20512,6.95862,16.5061,5.06417,17.8386,3.78537,3.58187,4.06617,5.12466,6.66094,8.22065,9.67209,10.7817,11.1365,10.9578,10.4812,10.0104,9.28241,8.54849,7.85577,7.202,6.56199,5.95582,56.8942
1977,172.045,165.743,127.803,109.367,137.129,147.932,21.1683,7.41181,7.05487,4.6028,2.40545,4.25128,3.95975,5.41409,13.1633,4.12787,14.7926,3.17924,3.0361,3.46937,4.39317,5.72958,7.0886,8.35509,9.32578,9.64191,9.4939,9.08563,8.6809,8.05186,7.41678,6.81683,6.25024,5.6953,54.5556
1978,239.339,116.85,116.534,82.8257,68.507,87.0902,98.7619,15.1779,5.37954,5.09877,3.31511,1.72737,3.07862,2.93471,4.1334,10.3337,3.31437,12.0803,2.6285,2.53253,2.91246,3.70499,4.8482,6.01274,7.0996,7.93476,8.21161,8.09127,7.74736,7.40511,6.87047,6.32992,5.8188,5.33579,51.4443
1979,234.03,162.555,81.8128,72.9111,49.4025,41.8132,57.9595,74.2994,11.8066,4.15111,3.84883,2.43924,1.26018,2.27765,2.22834,3.22441,8.24691,2.69176,9.93822,2.18272,2.11725,2.44679,3.12363,4.09802,5.09197,6.02073,6.73584,6.9761,6.87769,6.58807,6.29894,5.84549,5.38648,4.95215,48.3318
1980,149.755,158.949,112.492,46.98,38.2468,26.3754,24.9498,40.9902,55.0059,8.60743,2.94029,2.6551,1.67785,0.887824,1.6643,1.68753,2.51427,6.57353,2.18008,8.14164,1.80284,1.75909,2.04154,2.61435,3.4376,4.27843,5.06494,5.6716,5.87777,5.79768,5.55554,5.31315,4.93164,4.54506,44.9699
1981,432.17,101.711,110.895,69.3523,27.3012,22.5791,16.7661,17.8106,30.2746,40.1818,6.11121,2.01898,1.80482,1.16412,0.638706,1.24239,1.29908,1.98125,5.26905,1.76902,6.66493,1.48522,1.45584,1.69523,2.17615,2.86652,3.57234,4.23314,4.74354,4.91857,4.85343,4.65208,4.45006,4.13118,41.4874
1982,276.266,293.522,70.89,67.8907,39.8098,15.8031,13.8844,11.3931,12.3896,20.864,27.3801,4.1269,1.37507,1.2661,0.848846,0.482955,0.967234,1.03361,1.60134,4.30678,1.4576,5.52335,1.23596,1.21517,1.41811,1.82335,2.40464,2.99934,3.55644,3.98714,4.13572,4.08202,3.91342,3.74402,38.3886
1983,188.456,187.635,208.266,50.34,48.5861,29.2389,11.9791,11.019,9.28804,10.1456,17.2295,22.905,3.49276,1.17417,1.08865,0.733992,0.419491,0.843082,0.903342,1.40232,3.77712,1.27975,4.85334,1.08669,1.06888,1.2478,1.60476,2.11675,2.64061,3.13138,3.51087,3.6419,3.59476,3.44639,37.1061
1984,292.85,127.996,133.192,148.629,36.1979,35.5338,21.5751,8.97645,8.30319,6.96939,7.73045,13.5032,18.4299,2.86833,0.979294,0.918718,0.624921,0.359498,0.725967,0.780559,1.21477,3.27795,1.11211,4.2217,0.945939,0.930932,1.08718,1.3986,1.84521,2.30223,2.73043,3.06159,3.17606,3.13509,35.3694
1985,189.084,198.899,91.1383,96.9887,110.15,27.2599,26.7302,16.1844,6.70548,6.16249,5.24843,5.99234,10.7709,15.0509,2.38585,0.825981,0.782885,0.536502,0.310286,0.628993,0.678157,1.05751,2.85771,0.970553,3.68719,0.82664,0.813865,0.950759,1.22338,1.6143,2.01438,2.38927,2.67924,2.77955,33.6999
1986,300.445,128.423,141.782,67.0511,72.7902,83.2628,20.0838,19.0004,11.236,4.60363,4.332,3.85622,4.5947,8.54801,12.2624,1.98192,0.695817,0.666123,0.459727,0.267222,0.543643,0.587648,0.918077,2.4843,0.844568,3.2109,0.720245,0.709393,0.828955,1.06688,1.40802,1.75718,2.08439,2.3375,31.8295
1987,125.931,204.057,91.7272,105.141,51.1436,56.5923,64.6148,15.3774,14.2577,8.2099,3.34274,3.19941,2.93025,3.60078,6.88489,10.0919,1.65722,0.588462,0.567888,0.39416,0.230037,0.469349,0.508401,0.795473,2.15491,0.733184,2.78909,0.625903,0.616673,0.72078,0.927819,1.22466,1.5285,1.81325,29.7257
1988,190.837,85.5302,145.488,67.541,79.1719,39.0959,42.8914,48.236,11.3066,10.272,5.93512,2.4777,2.44689,2.30976,2.91247,5.68259,8.4556,1.40364,0.502282,0.487393,0.339621,0.198768,0.406378,0.440844,0.690518,1.87208,0.637325,2.42549,0.544479,0.536575,0.62727,0.807553,1.06602,1.33059,27.4582
1989,485.44,129.613,61.0056,107.296,50.9922,60.6761,29.6891,32.0094,35.2917,8.03016,7.24355,4.27028,1.84071,1.88018,1.82848,2.36061,4.68725,7.06314,1.18308,0.426072,0.415337,0.290365,0.170345,0.348871,0.378938,0.594103,1.61179,0.548988,2.09008,0.469314,0.462596,0.540868,0.696396,0.919358,24.8311
