"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1950,139198,107703,117037,0.754132911348089,423.36,1017.3,0.868005,0.00869212300383639
1951,140152,108461,117865,0.759440402753174,424.095,1122.8,0.856517,0.00952615280193442
1952,140994,109150,118618,0.76426475839711,424.756,693.5,0.909301,0.00584649884503195
1953,142249,110191,119755,0.77155380661966,425.744,1084,0.860807,0.00905181412049601
1954,143079,110953,120585,0.776889305894957,426.458,823,0.893619,0.00682506116017747
1955,144118,111929,121650,0.78372322622657,427.363,544,0.927587,0.00447184545828196
1956,145365,113147,122974,0.79225162270598,428.474,247,0.96655,0.00200855465382926
1957,146825,114614,124572,0.802523509106059,429.789,546,0.928338,0.00438300741739717
1958,147893,115853,125937,0.81119894690408,430.879,1207,0.850346,0.00958415715794405
1959,148203,116508,126260,0.815785235651218,431.448,1649,0.8026,0.0130603516553144
1960,147976,116599,126118,0.81642241469853,431.527,1032,0.869378,0.0081828129212325
1961,148291,116954,126413,0.818908113179803,1594.65,1620,0.806013,0.0128151376836243
1962,149618,116724,126148,0.817297660642641,287.059,5799,0.480672,0.0459698132352475
1963,145639,113184,122314,0.792510695505437,654.343,13838,0.182636,0.113135045865559
1964,134263,103359,111660,0.723716364298368,228.727,18608,0.0884211,0.166648755149561
1965,117785,89893.3,97047.2,0.62942996982152,205.501,14167,0.11964,0.145980512575324
1966,105776,79760.7,86067.3,0.558481833395184,315.432,8080,0.257006,0.0938800217968961
1967,100104,74163.4,80039.3,0.519289720411436,239.295,5940,0.339355,0.0742135425971991
1968,96551.8,70317.7,75839.2,0.492362253793316,475.145,3176,0.543464,0.0418780788826886
1969,96020.4,68718.5,73842.2,0.481164707282746,432.511,3012,0.559538,0.0407896839476614
1970,95532.6,68597.1,82316.6,0.480314668421827,211.452,5466,0.355683,0.0664021594672277
1971,92109.9,69234.5,78108.2,0.484777722540034,319.157,6591,0.276429,0.0843829457086452
1972,87377.9,68452.6,76055.1,0.479302884110435,1010.6,3948,0.439569,0.0519097338640012
1973,86079.1,67529.4,72605.2,0.472838667665614,496.183,3871,0.440129,0.0533157404703795
1974,84501.4,65391.2,68950.1,0.457867060644041,224.303,5389.98,0.331143,0.0781721853920444
1975,81333.2,61057.6,65196.5,0.42752333405687,171.059,5072.38,0.329413,0.077801415720169
1976,78647.7,57207.7,61064.8,0.400566459175028,158.998,5880,0.270499,0.096291153004677
1977,75335.4,53316.3,58904.7,0.373319002639742,115.59,6695.35,0.214633,0.113664104901646
1978,71221.6,49768.2,55816.6,0.34847532156536,167.354,5765.1,0.243312,0.103286477499525
1979,67994.3,47370.9,51459.5,0.331689504750835,174.262,6255.03,0.202825,0.121552483020628
1980,64017.3,44276,47904.1,0.310019115371419,118.676,5783.48,0.208426,0.120730375896844
1981,60028.2,42087.2,51105.1,0.29469320879167,366.413,5769.96,0.190347,0.112903800207807
1982,55911.1,41674.4,49663.4,0.291802796585841,244.561,1660.01,0.599322,0.0334252185714228
1983,55453.5,44318,49211,0.31031319800864,172.913,2554.24,0.448556,0.0519038426368088
1984,53778.1,44271.6,47208.8,0.309988306714187,275.894,2301.18,0.466585,0.0487447255596414
1985,52353,42826.5,45102,0.299869763403516,187.444,2674.24,0.394974,0.0592931577313645
1986,50463.3,40358.4,42162.8,0.282588207286247,312.135,2329.36,0.428041,0.0552468052406387
1987,49195.2,37944.6,40022.7,0.2656868580071,141.504,2501.91,0.394009,0.0625122742843437
1988,47741.1,35562.8,37967.5,0.249009571689645,216.008,2901.96,0.331417,0.0764327385263712
1989,46142.9,33223.1,35201.9,0.232627068206166,489.875,2764.52,0.339247,0.0785332609887534
1990,45235,31435.2,35574.2,0.220108250418368,184.124,2780.33,0.333732,0.0781557983032647
1991,44179.7,30571.3,34772,0.214059250649432,302.614,2928.93,0.309724,0.0842324283906591
1992,43268.9,30022.1,33170.6,0.210213770069389,75.9832,2296.34,0.383803,0.0692281719353886
1993,42847.2,29641.1,33183.4,0.207546020431741,287.308,2384.1,0.368776,0.0718461640458784
1994,42677.2,29188.9,32290.1,0.204379730704328,496.987,2112.87,0.408565,0.0654339875070068
1995,43197.5,29025,32934.8,0.203232108222411,121.538,2447.95,0.3652,0.074327155470809
1996,43083.4,28754.3,31653.3,0.201336675605845,156.837,2511.6,0.356346,0.079347177071585
1997,42962.3,28322.6,31093.5,0.198313926213266,221.383,2334.3,0.379237,0.0750735684307009
1998,43087.5,28223.3,33652.3,0.197618630835265,182.751,2657,0.333512,0.078954484537461
1999,42802.1,28750.2,32920,0.201307967538878,228.59,2771.75,0.317796,0.0841965370595383
2000,42374.7,29129,33266.2,0.20396031284791,277.473,2774.82,0.313113,0.0834125929622259
2001,41913.2,28889.9,31197.7,0.202286142406016,258.601,2784.4,0.310347,0.0892501690829773
2002,41333.9,28169.3,31182,0.197240524587409,186.879,3318.57,0.250002,0.106425822589956
2003,40036.9,27368.2,32862.2,0.191631248380795,616.288,2305.37,0.361995,0.070152637376682
2004,40278.2,28032.1,31635.9,0.196279854639154,72.8884,2124.54,0.392634,0.0671559841825268
2005,40176.5,28322.6,30766.7,0.198313926213266,429.498,1756.44,0.454911,0.0570889955698856
2006,40989.3,28020.8,30756.9,0.196200732405806,125.412,1811.44,0.450541,0.0588954023324847
2007,41593.5,27655.7,30358.9,0.193644314052249,185.56,1637.78,0.494315,0.053947277404649
2008,42595.6,27555.1,30613,0.192939916116429,447.479,1999.52,0.434843,0.0653160422042923
2009,43732.9,27507.3,31288,0.192605222067401,257.015,1979.66,0.446555,0.0632721810278701
2010,44834.2,27930.5,31940.2,0.195568454735781,82.993,1857.45,0.474714,0.0581539877646352
2011,45881.4,28682.2,32001.4,0.200831833745282,285.15,2006.78,0.455146,0.0627091314754979
2012,46959.7,29736.8,37038.2,0.208216108726552,209.78,1753.96,0.511326,0.0473554330394026
2013,48119.3,31864.6,36155.4,0.223114895285575,96.8431,1481.45,0.56817,0.0409745155633736
2014,49261.1,33918.9,39518.5,0.237499037229462,197.99,1626.52,0.547187,0.0411584447790275
2015,50167.4,35264.9,39152.9,0.246923685555641,229.671,1841.7,0.511837,0.0470386612485921
2016,50677.6,35990.9,39067,0.252007113999034,248.534,1900.89,0.505011,0.0486571786930146
2017,50935.9,36265.9,42028.3,0.253932655076076,764.296,1849.6,0.513996,0.0440084419307942
2018,51788.1,37336.9,42815.4,0.261431762325213,291.185,2026.47,0.490047,0.0473303998094144
2019,51987.7,38202.6,41180.2,0.267493365635744,291.185,2305.42,0.446901,0.0559837009048038
2020,51992.7,37794,41596.9,0.264632361693636,291.185,2177.62,0.466996,0.0523505357370381
2021,0,0,0,0,0,0,0,NA
2022,0,0,0,0,0,0,0,NA
2023,0,0,0,0,0,0,0,NA
2024,0,0,0,0,0,0,0,NA
2025,0,0,0,0,0,0,0,NA
2026,0,0,0,0,0,0,0,NA
2027,0,0,0,0,0,0,0,NA
2028,0,0,0,0,0,0,0,NA
2029,0,0,0,0,0,0,0,NA
2030,0,0,0,0,0,0,0,NA
